데이터연도,지역,광역시도,제조사,차종,모델명,국비보조금(만원),지방비보조금(만원),총보조금(만원),수집일시
2025,가평군,경기도,현대자동차,일반승용,GV60 스탠다드 2WD 19인치,287,197,484,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,GV60 스탠다드 AWD 19인치,261,180,441,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,GV60 스탠다드 AWD 20인치,251,173,424,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,GV60 퍼포먼스 AWD 21인치,236,162,398,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,Electrified GV70 AWD 20인치,244,168,412,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,Electrified GV70 AWD 19인치,260,179,439,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,아이오닉6 스탠다드 2WD 18인치,635,362,997,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,아이오닉6 롱레인지 2WD 18인치,686,396,"1,082",2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,아이오닉6 롱레인지 2WD 20인치,680,392,"1,072",2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,아이오닉6 롱레인지 AWD 18인치,686,396,"1,082",2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,아이오닉6 롱레인지 AWD 20인치,647,369,"1,016",2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,코나 일렉트릭 2WD 스탠다드 17인치,573,308,881,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,코나 일렉트릭 2WD 롱레인지 17인치,623,361,984,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,코나 일렉트릭 2WD 롱레인지 19인치(빌트인 캠),568,323,891,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,아이오닉5 N,232,160,392,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 19인치 빌트인 캠 미적용,659,397,"1,056",2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 19인치,656,395,"1,051",2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 20인치,651,392,"1,043",2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,더뉴아이오닉5 AWD 롱레인지 20인치,624,373,997,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,더뉴아이오닉5 AWD 롱레인지 19인치,650,391,"1,041",2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 N라인 20인치,633,380,"1,013",2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,더뉴아이오닉5 AWD 롱레인지 N라인 20인치,602,358,960,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,Electrified G80 AWD 19인치(2025),275,189,464,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,더뉴아이오닉5 2WD 스탠다드 19인치,561,340,901,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,Electrified GV70 AWD 20인치(2025),250,172,422,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,Electrified GV70 AWD 19인치(2025),266,183,449,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,코나 일렉트릭 2WD 롱레인지 17인치(빌트인 캠),623,361,984,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,아이오닉9 성능형 AWD,277,191,468,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,아이오닉9 항속형 AWD,276,190,466,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,아이오닉9 항속형 2WD,279,192,471,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,GV60 퍼포먼스 AWD 21인치(2025),248,171,419,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,GV60 스탠다드 AWD 20인치(2025),266,183,449,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,GV60 스탠다드 AWD 19인치(2025),277,191,468,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,일반승용,GV60 스탠다드 2WD 19인치(2025),290,200,490,2025-07-13 20:18:16
2025,고양시,경기도,BMW,일반승용,MINI Cooper SE,303,130,433,2025-07-13 20:18:16
2025,고양시,경기도,BMW,일반승용,i4 eDrive40,189,81,270,2025-07-13 20:18:16
2025,고양시,경기도,BMW,일반승용,i4 M50,172,74,246,2025-07-13 20:18:16
